trialIter,trialID,valid_cue,target_id,soa,cue_type,side,pic_version,pic_category,pic_type,pic_id,cue_category,block,cue_version,pic_file,cue_file
1,244,0,100,1.0,label,left,B,drum,bongo,1,phone,1,B,drum_bongo_1,phone_label_B
1,160,0,16,.8,label,right,A,drum,kit,1,guitar,1,A,drum_kit_1,guitar_label_A
1,83,1,83,.8,label,left,B,motor,harley,2,motor,1,B,motor_harley_2,motor_label_B
1,208,0,64,1.2,label,right,A,drum,kit,1,dog,1,A,drum_kit_1,dog_label_A
1,241,0,97,1.0,label,left,B,bird,song,2,phone,1,B,bird_song_2,phone_label_B
1,111,1,111,1.0,label,right,B,dog,york,2,dog,1,B,dog_york_2,dog_label_B
1,271,0,127,1.2,label,left,B,guitar,acoustic,2,phone,1,B,guitar_acoustic_2,phone_label_B
1,62,1,62,1.2,label,right,A,dog,rott,1,dog,1,A,dog_rott_1,dog_label_A
1,263,0,119,1.0,label,right,B,motor,harley,2,guitar,1,B,motor_harley_2,guitar_label_B
1,9,1,9,.8,label,left,A,phone,cell,2,phone,1,A,phone_cell_2,phone_label_A
1,101,1,101,1.0,label,left,B,drum,bongo,2,drum,1,B,drum_bongo_2,drum_label_B
1,158,0,14,.8,label,right,A,dog,rott,1,bird,1,A,dog_rott_1,bird_label_A
1,117,1,117,1.0,label,right,B,phone,rotary,2,phone,1,B,phone_rotary_2,phone_label_B
1,54,1,54,1.2,label,left,A,guitar,electric,1,guitar,1,A,guitar_electric_1,guitar_label_A
1,65,1,65,1.2,label,right,A,drum,kit,2,drum,1,A,drum_kit_2,drum_label_A
1,196,0,52,1.2,label,left,A,drum,kit,1,phone,1,A,drum_kit_1,phone_label_A
1,199,0,55,1.2,label,left,A,guitar,electric,2,drum,1,A,guitar_electric_2,drum_label_A
1,115,1,115,1.0,label,right,B,guitar,acoustic,2,guitar,1,B,guitar_acoustic_2,guitar_label_B
1,5,1,5,.8,label,left,A,drum,kit,2,drum,1,A,drum_kit_2,drum_label_A
1,228,0,84,.8,label,right,B,bird,song,1,guitar,1,B,bird_song_1,guitar_label_B
